user,deposit_attempts,sucess_deposit_attempts,num_cards,num_cards_success,first_deposit,last_deposit,deposit_sucess_ratio,deposit_time_delta,signup_time_delta,calls,docs_uploaded,docs_approved,approval_rate,sales_view,conversion_owner,sales_agent,account_create_on_date,country_name,tag,channel,ava_business,profile_state,num_closed_trade
14507178,1,1,1,1,08:56.4,08:56.4,1,0,66,0,0,0,0,1,Andrew Lee,1,33:38.0,"Korea, Republic of",avafx,Default,English,PROFILE_STATE_LIMITED,4
186828,3,3,1,1,25:27.9,09:06.1,1,22,2535,2,5,3,0.6,1,Alev Nazli,1,59:15.0,Namibia,avat-goog-ng-searchdesktop-investment,SEM,English,PROFILE_STATE_FULL,171
13486028,4,2,2,1,28:31.3,27:42.7,0.5,43,491,2,4,2,0.5,1,Ross Dimitrov,1,10:36.4,Sweden,redboxmobile_asa,SEM,English,PROFILE_STATE_FULL,2
15353527,2,1,1,1,31:58.3,31:58.3,0.5,0,1,0,2,2,1,1,AvaFX Customer Service,0,17:02.2,Poland,188325,Affiliates,Ext. Poland,PROFILE_STATE_FULL,566
15005918,1,1,1,1,59:01.4,59:01.4,1,0,61,2,3,2,0.666666667,1,Aleksandar Mirchevski,1,44:20.2,South Africa,bing_za_search_nonbrand,SEM,South Africa,PROFILE_STATE_FULL,38
15349581,12,10,1,1,14:50.1,32:03.0,0.833333333,15,0,0,5,2,0.4,1,AvaFX Customer Service,0,41:19.8,Poland,146903,Affiliates,Ext. Poland,PROFILE_STATE_ARCHIVED,32
14547370,2,2,1,1,27:21.4,37:54.8,1,0,0,0,0,0,0,1,AvaFX Customer Service,0,23:22.7,Qatar,avafx,Default,Arabic,PROFILE_STATE_LIMITED,12
14522002,1,1,1,1,29:07.5,29:07.5,1,0,18,2,6,1,0.166666667,1,Hazem Habeballah,1,31:00.0,Palestine,135210,Affiliates,Arabic,PROFILE_STATE_LIMITED,9
14524468,1,1,1,1,45:50.0,45:50.0,1,0,0,0,2,2,1,1,AD Unassigned,0,38:21.3,South Africa,avafx,Default,South Africa,PROFILE_STATE_FULL,13
14452054,2,2,1,1,54:44.4,39:39.6,1,20,106,1,3,2,0.666666667,1,AD Unassigned,0,06:16.8,South Africa,fusionpartners_google_za_search_nonbrand,SEM,South Africa,PROFILE_STATE_FULL,5
15410908,2,2,1,1,15:38.1,14:41.5,1,5,0,0,6,2,0.333333333,1,AvaFX Customer Service,0,49:30.2,Australia,86776,SEO,Australia,PROFILE_STATE_ARCHIVED,0
14684628,26,17,2,2,16:57.5,17:02.6,0.653846154,96,0,0,5,3,0.6,0,AvaFX Customer Service,0,00:40.2,Mexico,152208,Affiliates,Latam,PROFILE_STATE_FULL,335
15041112,1,1,1,1,43:28.7,43:28.7,1,0,0,3,2,2,1,1,Vittorio Astrologo,1,23:28.8,Italy,183439,Affiliates,Ext. Milano,PROFILE_STATE_FULL,16
14661998,8,7,1,1,58:18.3,11:22.5,0.875,69,16,4,7,3,0.428571429,1,Hazem Habeballah,1,03:36.8,Jordan,181195,Affiliates,Arabic,PROFILE_STATE_FULL,715
14981774,6,2,2,2,10:11.5,25:01.6,0.333333333,19,24,0,5,2,0.4,1,AvaFX Customer Service,0,33:21.2,Indonesia,avafx,Default,Ext. Malaysia,PROFILE_STATE_FULL,68
15449162,1,1,1,1,33:13.4,33:13.4,1,0,13,0,3,3,1,0,Moshe Benhamu,1,51:25.3,Costa Rica,168740,Affiliates,Latam,PROFILE_STATE_FULL,330
14630179,2,1,1,1,19:22.3,19:22.3,0.5,0,8,0,3,3,1,0,AvaFX Customer Service,0,17:19.9,South Africa,140148,Affiliates,South Africa,PROFILE_STATE_FULL,4
15389758,1,1,1,1,12:29.2,12:29.2,1,0,1,7,2,2,1,1,Anton Simeonov Todorov,1,56:48.2,South Africa,fusionpartners_google_za_search_nonbrand,SEM,South Africa,PROFILE_STATE_FULL,123
15086387,13,12,1,1,43:10.2,34:48.6,0.923076923,66,4,2,3,3,1,1,Arina Knysh,1,04:28.3,United Kingdom,avafx,Default,United Kingdom,PROFILE_STATE_FULL,81
14530491,10,4,2,1,29:42.1,18:23.7,0.4,0,0,1,2,1,0.5,1,AD Unassigned,0,04:05.8,South Africa,65216,Media Buying,South Africa,PROFILE_STATE_BLACKLIST,0
14727733,3,2,1,1,29:01.3,35:09.6,0.666666667,26,0,0,3,2,0.666666667,1,AvaFX Customer Service,0,19:57.4,Singapore,151176,Affiliates,Ext. Malaysia,PROFILE_STATE_FULL,12
14993434,1,1,1,1,10:41.0,10:41.0,1,0,1,0,4,1,0.25,1,Moise Elie Cohen,1,28:27.5,Mozambique,86776,SEO,Latam,PROFILE_STATE_LIMITED,194
14735996,1,1,1,1,54:44.6,54:44.6,1,0,6,2,6,5,0.833333333,1,Alev Nazli,1,19:48.5,Switzerland,86776,SEO,German,PROFILE_STATE_FULL,0
13277721,6,5,2,2,16:48.1,07:54.2,0.833333333,15,471,3,4,2,0.5,1,AD Unassigned,0,06:09.3,South Africa,fusionpartners_google_za_search_brand,SEM,South Africa,PROFILE_STATE_FULL,35
14524235,1,1,1,1,53:28.1,53:28.1,1,0,0,0,3,3,1,1,Daniel Krastev,1,47:07.0,South Africa,183337,Affiliates,South Africa,PROFILE_STATE_FULL,60
14913404,1,1,1,1,25:47.3,25:47.3,1,0,0,1,2,2,1,0,Alexandra Marin,1,08:46.1,Colombia,188425,Affiliates,Latam,PROFILE_STATE_FULL,211
10134349,4,1,1,1,10:45.7,10:45.7,0.25,0,1858,0,6,2,0.333333333,1,AD Unassigned,0,57:49.0,United Kingdom,66920,Affiliates,United Kingdom,PROFILE_STATE_FULL,29
14531570,1,1,1,1,23:42.2,23:42.2,1,0,4,3,17,4,0.235294118,0,Moshe Benhamu,1,43:20.6,Colombia,181232,Affiliates,Latam,PROFILE_STATE_FULL,69
14860146,30,22,2,1,30:38.1,06:57.1,0.733333333,123,0,1,4,2,0.5,1,AD Unassigned,0,33:25.0,Bahamas,avafx,Default,English,PROFILE_STATE_FULL,1550
15550619,1,1,1,1,04:27.5,04:27.5,1,0,0,0,5,2,0.4,1,AvaFX Customer Service,0,43:40.4,United Arab Emirates,125322,Affiliates,Ext. Abu Dhabi,PROFILE_STATE_FULL,20
15259983,1,1,1,1,15:48.2,15:48.2,1,0,0,0,5,2,0.4,0,AvaFX Customer Service,0,36:40.2,Peru,112332,Affiliates,Latam,PROFILE_STATE_FULL,45
15039603,1,1,1,1,07:16.4,07:16.4,1,0,5,3,6,2,0.333333333,1,Yovan Rechovski,1,10:52.4,United Kingdom,185503,Affiliates,United Kingdom,PROFILE_STATE_FULL,39
15074253,1,1,1,1,08:24.2,08:24.2,1,0,0,0,5,2,0.4,1,AvaFX Customer Service,0,39:13.9,Poland,86776,SEO,Ext. Poland,PROFILE_STATE_FULL,3
15386830,1,1,1,1,33:01.2,33:01.2,1,0,1,1,4,2,0.5,1,Hank Kaboub,1,23:28.4,United Kingdom,188075,Affiliates,United Kingdom,PROFILE_STATE_FULL,2
14529590,1,1,1,1,14:07.4,14:07.4,1,0,1,2,4,2,0.5,1,AD Unassigned,0,30:36.8,France,111876,Affiliates,French,PROFILE_STATE_FULL,79
14737314,8,8,1,1,33:54.8,58:34.7,1,110,8,4,2,2,1,1,Nadra Jokhadar,1,53:43.5,United Arab Emirates,fusionpartners_google_search_nonbrand_uae,SEM,Arabic,PROFILE_STATE_FULL,1317
14593467,2,2,1,1,02:15.3,20:54.0,1,0,1,2,7,3,0.428571429,1,Atmar Nazam Yasin,1,44:33.7,Palestine,2218,Affiliates,Arabic,PROFILE_STATE_FULL,13
14545114,1,1,1,1,51:41.7,51:41.7,1,0,0,0,3,3,1,1,AvaFX Customer Service,0,38:55.8,France,111876,Affiliates,French,PROFILE_STATE_FULL,0
15280749,2,2,1,1,03:10.0,09:06.3,1,0,22,2,16,10,0.625,1,Alev Nazli,1,47:56.3,Canada,bing_ca_search_brand1,SEM,Canada,PROFILE_STATE_FULL,1
13607168,7,1,2,1,03:17.6,03:17.6,0.142857143,0,609,0,4,2,0.5,1,AD Unassigned,0,21:00.1,South Africa,115116,Affiliates,South Africa,PROFILE_STATE_FULL,1270
